var,sex,year,mode,sd1,sd2
ppp,f,2020,-0.834139124472048,0.471364313830598,0.178658505716017
ppp,f,2021,0.0917709146251422,0.036131621111269,0.0951795525527208
ppp,f,2022,0.0536166368383793,0.0550077634560789,0.143073039832003
ppp,f,2023,0.614412537448788,0.723130220541921,1.91266306661884
ppp,f,2024,0.231095142009604,0.91139217468491,2.38418012311657
ppp,f,2025,0.152008729180074,0.545496334363621,1.44256490718915
ppp,f,2026,0.12446351318926,0.430806435794337,1.12531842730168
ppp,f,2027,-0.00449203033812275,0.492163171476909,1.28655751090596
ppp,f,2028,0.0126432843697,0.411838390705167,1.08255366531985
ppp,f,2029,-0.0845170276686872,0.461454613119302,1.20842100540571
ppp,f,2030,-0.0558685469792159,0.407905034677731,1.07422614501357
ppp,f,2031,-0.0373610990433803,0.367034697951773,0.97828431168848
ppp,f,2032,-0.102726179592795,0.400785988015702,1.0553364449507
ppp,f,2033,-0.0809292556622157,0.375403586349822,0.980387648203298
ppp,f,2034,-0.0650252171071374,0.350686144473125,0.924197174709526
ppp,f,2035,-0.0530497688024056,0.336711955819495,0.880614039708151
ppp,f,2036,-0.0972180283591862,0.356461296665913,0.934988090118291
ppp,f,2037,-0.0837532290311653,0.340432413576408,0.898821814332704
ppp,f,2038,-0.0730592327757793,0.326177849161222,0.864751590563446
ppp,f,2039,-0.0644433388248815,0.322087793318307,0.836158863691571
ppp,f,2040,-0.0980131878853271,0.332134169938724,0.877591369074311
ppp,f,2041,-0.0885500471310261,0.321630773072594,0.851242804211436
ppp,f,2042,-0.080692300423259,0.316536678604328,0.831289179237144
ppp,f,2043,-0.0741188689527235,0.309193313445383,0.816114566681116
ppp,m,2020,0.193742417540525,0.0181524421322472,0.0478105131873017
ppp,m,2021,2.0779135826601,0.36322804004715,0.960165182522645
ppp,m,2022,1.10719713339036,0.273608383470943,0.723845738383006
ppp,m,2023,0.782288742589041,0.247085822613072,0.645577389082937
ppp,m,2024,0.652673361248066,0.303970106573748,0.80826480754188
ppp,m,2025,0.521119740007301,0.28024500654209,0.732039449987178
ppp,m,2026,0.44138582263599,0.259884486195972,0.688130191255533
ppp,m,2027,0.387561757199391,0.247719351110333,0.65544050161377
ppp,m,2028,0.348543321439797,0.241337637151892,0.635854996676599
ppp,m,2029,0.291848522826749,0.269025805872835,0.705927274958473
ppp,m,2030,0.268919910246,0.258646617375023,0.686797157327441
ppp,m,2031,0.250641131223844,0.252709155563897,0.666075513038602
ppp,m,2032,0.235617235692693,0.247280334629383,0.653025928018798
ppp,m,2033,0.222960528154995,0.242752142242392,0.6420618796478
ppp,m,2034,0.186153161195007,0.26021861910284,0.689358292361689
ppp,m,2035,0.178172095101815,0.257651587814224,0.675171714286035
ppp,m,2036,0.171110522012626,0.250494118585006,0.664281420430122
ppp,m,2037,0.164771407712308,0.250676426138864,0.659308336317986
ppp,m,2038,0.159010260443084,0.249641390878626,0.653517705880693
